studentid,lastname,firstname,grade,GPA,honors,DOB
144,Gavelston,Greg,8,2.71,False,2010-11-15
145,Kramer,Carolyn,8,3.74,True,2009-12-06
146,Despret,Daniel,6,2.76,False,2012-02-29
147,Wexler,Daryl,7,3.41,True,2011-07-14
148,Kramer,Corey,8,3.82,True,2010-09-25
149,George,Anthony,7,3.07,False,2011-08-25
150,Kilmead,Alejandro,7,3.51,True,2011-09-21
151,Wexler,Mary,7,3.92,True,2011-03-03
152,De la Cruz,Alejandro,7,2.77,False,2011-04-07
153,Fowler,Josie,8,2.94,False,2009-12-19
154,Despret,Greg,6,2.5,False,2012-08-17
155,Simpleton,Kimberly,8,2.77,False,2009-12-02
156,Cramer,Josie,8,1.94,False,2010-12-11
157,Christensen,Kimberly,8,3.47,True,2010-09-03
158,Christensen,Carolyn,7,3.08,False,2011-07-26
159,Steembrenner,Douglas,6,3.04,False,2012-04-09
160,Simpleton,Anthony,6,2.78,False,2012-12-21
161,Christensen,Alejandro,7,3.23,False,2011-01-25
162, Ellis,Denice,8,2.86,False,2009-10-30
163,Cramer,Daniel,6,3.34,False,2012-01-08
164,Maxwell,Brian,8,2.92,False,2010-11-26
165,Kramer,Greg,6,3.13,False,2013-03-07
166,Simpleton,Joy,7,2.75,False,2011-03-27
167,Kramer,Douglas,6,2.33,False,2012-06-03
168,Fowler,Alejandro,8,3.45,True,2010-12-21
169,Fowler,Anthony,6,3.04,False,2013-05-13
170,Johnson,Joy,6,1.72,False,2012-08-11
171,Maxwell,Kimberly,6,3.98,True,2013-04-17
172,Fairchild,Joy,7,3.32,False,2011-10-05
173,Politz,Douglas,7,3.47,True,2011-04-22
174,Simpleton,Carolyn,6,3.75,True,2013-02-05
175,Kilmead,Gary,8,2.81,False,2010-09-10
176,Kramer,Carolyn,7,2.43,False,2011-12-26
177,Despret,Kimberly,6,2.53,False,2012-03-21
178,Rogers,Mary,6,2.53,False,2012-01-04
179,Rogers,Diane,7,2.08,False,2011-04-13
180,Steembrenner,Mary,6,3.86,True,2012-10-11
181,Simpleton,Carolyn,8,2.89,False,2010-09-25
182,Brenan,Diane,6,2.7,False,2012-07-13
183,De la Cruz,Kareem,8,3.89,True,2010-01-01
184,Despret,Josie,7,3.51,True,2011-08-08
185,Steembrenner,Greg,7,2.52,False,2011-12-04
186, Ellis,Diane,6,3.96,True,2012-01-05
187,Kramer,Denice,6,2.41,False,2012-08-23
188,Fairchild,Kareem,6,1.82,False,2012-01-16
189,Johnson,Gary,6,4.0,True,2012-04-16
190,Kramer,Carolyn,8,2.53,False,2010-01-28
191,Wexler,Karina,6,2.51,False,2012-07-27
192,Despret,Bill,8,3.86,True,2010-07-10
193,Wexler,Corey,6,4.0,True,2012-01-18
194,Simpleton,Brian,7,3.18,False,2011-02-21
195,De la Cruz,Anthony,8,4.0,True,2010-05-28
196,Johnson,Alejandro,8,2.89,False,2009-11-17
197,De la Cruz,Carolyn,6,3.32,False,2012-12-12
198,Johnson,Denice,8,3.4,False,2010-06-09
199,Rogers,Brian,6,2.21,False,2012-02-05
200,Simpleton,Carolyn,8,3.58,True,2010-08-23
201,Cramer,Kimberly,7,3.15,False,2011-01-23
202,Rogers,Douglas,8,4.0,True,2010-04-10
203,Maxwell,Roger,7,3.5,True,2011-05-23
204,Kilmead,Douglas,8,3.58,True,2010-05-19
205,Fowler,Greg,6,3.38,False,2012-11-20
206,Despret,Denice,6,3.85,True,2012-11-12
207,Brenan,Douglas,6,3.09,False,2013-02-05
208,Christensen,Josie,6,2.93,False,2012-08-17
209,Orvis,Gary,7,2.95,False,2011-03-28
210,Wexler,Douglas,7,2.87,False,2011-05-01
211,Kilmead,Greg,6,2.38,False,2013-05-22
212,Kilmead,Joy,8,3.2,False,2009-12-07
213,Gavelston,Roger,6,3.63,True,2012-10-08
214,Despret,Bill,8,2.6,False,2010-02-09
215,Fairchild,Gary,8,3.41,True,2009-12-23
216,Maxwell,Daniel,6,3.85,True,2012-04-08
217,Rogers,Alejandro,8,3.6,True,2010-10-24
218,Wexler,Anthony,6,3.53,True,2012-04-05
219,Gavelston,Carolyn,6,3.18,False,2012-07-29
220,Steembrenner,Gary,6,3.4,False,2012-11-14
221, Ellis,Josie,7,2.58,False,2011-12-20
222,Christensen,Alejandro,7,2.69,False,2011-04-24
223,Gavelston,Joy,8,3.81,True,2010-09-02
224,Fowler,Kimberly,8,3.83,True,2009-11-12
225,De la Cruz,Josie,6,3.22,False,2012-05-19
226,Orvis,Gary,6,3.47,True,2013-08-14
227,Rogers,Anthony,8,2.28,False,2010-08-07
228,Politz,Kimberly,6,2.39,False,2012-12-01
229,Wexler,Daryl,6,4.0,True,2013-08-27
230, Ellis,Alejandro,8,3.4,False,2010-07-26
231,Despret,Kareem,6,3.14,False,2013-05-01
232,Despret,Gary,6,3.59,True,2013-01-22
233,Kramer,Corey,6,2.55,False,2012-04-04
234,Kramer,Josie,8,3.23,False,2009-09-15
235,Brenan,Diane,6,3.39,False,2012-12-27
236,Fowler,Joy,7,3.96,True,2011-06-10
237,Wexler,Josie,7,2.75,False,2011-01-13
238,Orvis,Roger,6,3.21,False,2013-01-21
239,George,Douglas,6,4.0,True,2012-11-01
240,Politz,Anthony,6,3.34,False,2012-06-12
241,De la Cruz,Josie,8,2.85,False,2010-03-25
242,Despret,Denice,6,3.31,False,2012-02-01
243,Wexler,Bill,6,3.75,True,2012-10-19
244,Brenan,Douglas,7,2.91,False,2011-08-11
245,Maxwell,Daniel,6,4.0,True,2012-03-06
246,Cramer,Anthony,8,3.4,False,2010-08-06
247,Wexler,Daniel,6,3.2,False,2013-07-23
248,De la Cruz,Daniel,8,3.37,False,2009-10-24
249,Politz,Josie,8,3.23,False,2009-09-11
250,Despret,Kimberly,7,2.91,False,2011-08-16
251,Christensen,Douglas,8,3.21,False,2010-02-25
252,Kilmead,Daniel,7,3.84,True,2011-06-26
253,Maxwell,Joy,7,2.98,False,2011-05-14
254,De la Cruz,Carolyn,6,2.56,False,2012-07-01
255,Johnson,Roger,8,4.0,True,2010-09-30
256,Fowler,Anthony,6,2.84,False,2012-03-11
257,Rogers,Corey,7,3.17,False,2011-11-02
258,Fowler,Douglas,6,3.57,True,2013-05-03
259,George,Corey,6,3.81,True,2013-08-15
260,Johnson,Douglas,8,3.89,True,2010-07-06
261,Politz,Roger,8,3.4,False,2009-09-05
262,Simpleton,Daryl,6,3.62,True,2012-05-25
263,Kramer,Joy,8,3.1,False,2010-05-21
264,Maxwell,Kareem,7,2.71,False,2011-10-28
265,Despret,Roger,6,3.62,True,2013-08-24
266, Ellis,Roger,8,2.68,False,2010-11-21
267,Johnson,Daryl,7,4.0,True,2011-08-12
268,Kilmead,Diane,6,1.97,False,2012-11-27
269,Simpleton,Douglas,8,3.95,True,2010-08-09
270,Despret,Karina,6,3.26,False,2012-03-05
271,Politz,Denice,6,3.51,True,2012-06-05
272,Cramer,Corey,6,3.09,False,2013-03-09
273,Fairchild,Roger,6,3.35,False,2013-01-12
274,Cramer,Kimberly,6,2.54,False,2012-05-08
275,George,Gary,7,3.11,False,2011-06-29
276,Simpleton,Brian,6,4.0,True,2012-08-05
277,Maxwell,Bill,7,3.38,False,2011-08-26
278,Simpleton,Diane,6,3.62,True,2013-08-09
279,Fairchild,Bill,6,3.61,True,2012-08-14
280,Gavelston,Mary,6,2.73,False,2013-08-21
281,Kramer,Joy,6,2.43,False,2013-03-06
282,Steembrenner,Anthony,6,3.03,False,2012-03-13
283,Fowler,Anthony,6,3.81,True,2013-08-05
284,Maxwell,Brian,7,4.0,True,2011-07-31
285,Kramer,Joy,7,4.0,True,2011-03-02
286,Brenan,Gary,7,3.34,False,2011-01-27
287,Johnson,Gary,6,2.41,False,2012-12-31
288,Orvis,Daniel,6,2.43,False,2013-04-15
289,Fairchild,Kareem,7,3.46,True,2011-05-30
290,Christensen,Carolyn,6,2.93,False,2013-03-30
291,De la Cruz,Denice,6,2.1,False,2013-02-14
292,De la Cruz,Joy,6,3.87,True,2013-03-27
293, Ellis,Roger,8,3.68,True,2009-10-20
294,Politz,Joy,6,3.7,True,2012-09-14
295,Fowler,Karina,8,2.68,False,2009-12-12
296,Fairchild,Kareem,6,2.27,False,2013-03-19
297, Ellis,Alejandro,6,2.95,False,2013-05-27
298,Fowler,Roger,7,2.92,False,2011-11-19
299,Maxwell,Joy,7,3.73,True,2011-10-05
300,Gavelston,Josie,8,2.07,False,2010-04-14
