studentid,lastname,firstname,grade,GPA,scheduleid,honors,DOB
169,Fairchild,Kareem,6,2.47,0,False,2013-01-26
170,Simpleton,Denice,8,4.0,0,True,2010-07-07
171,De la Cruz,Joy,8,2.24,0,False,2010-11-20
172,Brenan,Douglas,6,2.92,0,False,2013-06-15
173,Brenan,Denice,7,3.19,0,False,2011-08-05
174,Gavelston,Bill,7,3.32,0,False,2011-08-04
175,Fowler,Bill,8,2.92,0,False,2010-11-25
176,Politz,Corey,7,3.84,0,True,2011-09-08
177,Politz,Josie,8,2.35,0,False,2010-05-19
178,Johnson,Diane,6,3.27,0,False,2012-08-29
179,Christensen,Greg,8,3.26,0,False,2009-09-22
180,Gavelston,Daryl,8,3.16,0,False,2010-03-25
181,Cramer,Greg,8,2.56,0,False,2010-02-14
182,Fairchild,Greg,7,4.0,0,True,2011-06-17
183,Johnson,Daniel,8,3.22,0,False,2010-03-14
184,Cramer,Kimberly,8,4.0,0,True,2009-10-28
185,Christensen,Kimberly,6,3.23,0,False,2013-01-11
186,Wexler,Karina,7,3.31,0,False,2011-02-07
187, Ellis,Daniel,7,3.63,0,True,2011-05-13
188,Christensen,Daryl,6,2.78,0,False,2013-01-05
189,Gavelston,Denice,7,3.85,0,True,2011-10-30
190,Johnson,Mary,6,3.89,0,True,2012-04-18
191,Despret,Bill,6,2.56,0,False,2012-07-03
192,George,Denice,6,3.72,0,True,2012-11-01
193,Christensen,Gary,6,2.84,0,False,2012-05-02
194,Fowler,Douglas,7,3.29,0,False,2011-03-19
195,Steembrenner,Mary,8,3.57,0,True,2010-04-09
196,Fowler,Mary,6,3.2,0,False,2012-07-20
197,De la Cruz,Carolyn,6,2.34,0,False,2012-05-27
198,Christensen,Mary,7,2.95,0,False,2011-11-06
199,Christensen,Daniel,8,2.36,0,False,2010-04-30
200,Simpleton,Daniel,6,3.77,0,True,2013-03-19
201,Fowler,Bill,7,3.63,0,True,2011-04-21
202,George,Douglas,8,3.79,0,True,2009-09-17
203,Despret,Greg,8,3.04,0,False,2010-12-19
204,Cramer,Karina,7,3.32,0,False,2011-07-03
205,Despret,Gary,6,3.48,0,True,2012-02-12
206,Cramer,Carolyn,7,2.92,0,False,2011-01-31
207,Fowler,Kareem,6,4.0,0,True,2012-12-22
208,Cramer,Corey,8,3.15,0,False,2010-05-16
209,Gavelston,Anthony,6,3.7,0,True,2013-06-26
210,Kramer,Kareem,7,3.83,0,True,2011-12-09
211,Orvis,Roger,7,2.9,0,False,2011-12-18
212,Fowler,Anthony,8,3.7,0,True,2009-12-19
213,Steembrenner,Kareem,6,3.27,0,False,2013-08-31
214,Orvis,Josie,6,3.06,0,False,2012-03-27
215,Simpleton,Douglas,8,2.75,0,False,2010-07-30
216,Fairchild,Brian,8,2.93,0,False,2010-11-06
217,Politz,Bill,7,2.63,0,False,2011-10-24
218,Rogers,Daniel,7,3.32,0,False,2011-08-03
219,Politz,Douglas,6,3.59,0,True,2012-09-02
220,George,Corey,6,2.84,0,False,2013-05-15
221,Kramer,Carolyn,8,2.88,0,False,2010-02-04
222,Orvis,Daryl,8,2.69,0,False,2010-04-19
223,Fowler,Bill,6,2.75,0,False,2012-04-20
224,Simpleton,Denice,7,1.12,0,False,2011-03-29
225,Fowler,Carolyn,6,3.72,0,True,2012-05-19
226,Brenan,Karina,6,2.55,0,False,2012-06-25
227, Ellis,Denice,6,2.93,0,False,2012-06-30
228, Ellis,Mary,8,2.5,0,False,2009-12-03
229, Ellis,Gary,7,2.99,0,False,2011-05-09
230,Wexler,Gary,7,2.71,0,False,2011-10-09
231,Wexler,Douglas,6,3.26,0,False,2013-07-18
232,Maxwell,Daniel,6,3.45,0,True,2013-01-11
233,Simpleton,Corey,8,3.08,0,False,2010-05-10
234,Kilmead,Greg,8,2.9,0,False,2009-11-21
235,De la Cruz,Roger,6,3.52,0,True,2013-03-13
236,Simpleton,Carolyn,8,3.81,0,True,2010-02-11
237,Gavelston,Kimberly,8,2.94,0,False,2010-04-17
238,Gavelston,Karina,8,3.66,0,True,2009-10-18
239,Simpleton,Diane,8,3.25,0,False,2009-09-12
240, Ellis,Kareem,7,3.97,0,True,2011-02-09
241,George,Joy,6,3.28,0,False,2012-04-09
242,Gavelston,Alejandro,6,3.65,0,True,2012-03-02
243,Kilmead,Denice,7,4.0,0,True,2011-12-01
244,Despret,Corey,6,2.85,0,False,2012-07-07
245,Gavelston,Karina,6,2.84,0,False,2012-09-01
246,Fowler,Kimberly,8,3.93,0,True,2010-07-22
247,Kramer,Greg,8,3.54,0,True,2010-07-24
248,Maxwell,Corey,6,3.17,0,False,2013-05-19
249,George,Daryl,8,3.43,0,True,2010-03-09
250,George,Douglas,8,2.85,0,False,2010-01-15
251, Ellis,Joy,6,2.5,0,False,2013-05-06
252,Simpleton,Carolyn,8,3.03,0,False,2010-03-11
253,Steembrenner,Kareem,8,3.59,0,True,2010-04-04
254,Fowler,Anthony,6,3.45,0,True,2012-06-07
255,Cramer,Anthony,6,3.88,0,True,2012-02-10
256,De la Cruz,Daryl,8,2.91,0,False,2009-09-16
257,Maxwell,Denice,8,3.04,0,False,2010-08-26
258,Fowler,Karina,6,2.6,0,False,2012-05-27
259,Steembrenner,Carolyn,8,3.57,0,True,2010-12-22
260,De la Cruz,Kimberly,6,3.6,0,True,2012-12-25
261,Orvis,Anthony,8,3.63,0,True,2010-11-21
262,Despret,Brian,6,2.18,0,False,2012-08-25
263,Despret,Alejandro,6,2.81,0,False,2012-02-14
264,Rogers,Diane,8,3.74,0,True,2010-09-17
265,Cramer,Karina,6,3.41,0,True,2012-02-07
266,Gavelston,Anthony,7,3.38,0,False,2011-08-17
267,Christensen,Karina,7,3.87,0,True,2011-12-10
268,Orvis,Bill,6,3.13,0,False,2013-07-13
269,Fowler,Corey,6,3.6,0,True,2013-01-13
270,Gavelston,Greg,6,3.12,0,False,2012-11-26
271,Johnson,Roger,7,3.71,0,True,2011-04-19
272,De la Cruz,Denice,8,3.6,0,True,2010-02-09
273,Kramer,Douglas,7,4.0,0,True,2011-07-20
274,Steembrenner,Greg,6,3.04,0,False,2012-12-01
275,Gavelston,Joy,6,3.6,0,True,2012-04-09
276,Simpleton,Bill,6,3.95,0,True,2012-01-21
277,Simpleton,Diane,6,2.98,0,False,2012-09-24
278,George,Mary,6,3.22,0,False,2012-04-29
279,Simpleton,Karina,6,3.49,0,True,2012-11-25
280,Johnson,Douglas,8,2.68,0,False,2010-05-05
281,De la Cruz,Corey,7,3.18,0,False,2011-02-12
282,Wexler,Karina,7,2.99,0,False,2011-09-06
283,Despret,Brian,8,2.66,0,False,2009-10-13
284,Brenan,Roger,8,4.0,0,True,2010-10-19
285,Wexler,Greg,6,4.0,0,True,2013-08-22
286,Simpleton,Kimberly,8,4.0,0,True,2010-12-30
287,Wexler,Mary,7,3.47,0,True,2011-10-14
288,Kilmead,Denice,8,2.91,0,False,2009-12-14
289,Kramer,Kimberly,6,2.87,0,False,2012-06-20
290,Politz,Joy,8,2.13,0,False,2009-11-21
291, Ellis,Greg,6,3.55,0,True,2013-06-21
292,Gavelston,Daniel,6,2.83,0,False,2012-06-30
293,Fairchild,Carolyn,6,2.28,0,False,2013-06-05
294,Rogers,Denice,6,2.97,0,False,2013-06-29
295,Johnson,Daniel,6,3.86,0,True,2013-05-21
296,Maxwell,Douglas,8,4.0,0,True,2010-03-24
297,Johnson,Brian,6,3.51,0,True,2012-09-16
298,Brenan,Douglas,6,2.43,0,False,2012-07-29
299,Cramer,Douglas,6,3.24,0,False,2012-04-30
300,Christensen,Josie,8,3.61,0,True,2009-09-28
